ranch,bdffp_reserve_no,plot,habitat,row,column,x_09,y_09,ha_id_number,tag_number,year,ht,ht_next,shts,shts_next,infl,surv,code_notes,code2
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,1998,20,22,2,1,0,1,NA,initial.tag.yr
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,1999,22,24,1,2,0,1,NA,NA
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,2000,24,28,2,2,0,1,NA,NA
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,2001,28,23,2,2,0,1,NA,NA
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,2002,23,23,2,2,0,1,NA,NA
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,2003,23,23,2,2,0,1,NA,NA
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,2004,23,27,2,3,0,1,NA,NA
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,2005,27,23,3,3,0,1,NA,NA
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,2006,23,17,3,1,NA,1,NA,NA
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,2007,17,16,1,1,NA,1,NA,NA
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,2008,16,21,1,2,NA,1,NA,NA
Dimona,2107,2107,1-ha,A,10,4.1,4.8,1,1,2009,21,NA,2,NA,NA,NA,NA,NA
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,1998,24,16,1,2,0,1,NA,initial.tag.yr
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,1999,16,28,2,3,0,1,NA,NA
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,2000,28,41,3,4,0,1,NA,NA
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,2001,41,64,4,5,0,1,NA,NA
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,2002,64,90,5,4,0,1,NA,NA
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,2003,90,81,4,4,1,1,NA,NA
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,2004,81,93,4,4,0,1,NA,NA
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,2005,93,90,4,4,0,1,NA,NA
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,2006,90,84,4,5,NA,1,NA,NA
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,2007,84,100,5,3,1,1,NA,NA
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,2008,100,98,3,5,1,1,NA,NA
Dimona,2107,2107,1-ha,C,7,7.4,2,2,2,2009,98,NA,5,NA,NA,NA,NA,NA
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,1998,31,31,3,2,0,1,NA,initial.tag.yr
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,1999,31,34,2,2,0,1,NA,NA
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,2000,34,40,2,3,0,1,NA,NA
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,2001,40,22,3,1,0,1,NA,NA
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,2002,22,22,1,1,0,1,NA,NA
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,2003,22,23,1,2,0,1,NA,NA
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,2004,23,25,2,1,0,1,NA,NA
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,2005,25,17,1,1,0,1,NA,NA
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,2006,17,21,1,1,NA,1,NA,NA
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,2007,21,27,1,2,NA,1,NA,NA
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,2008,27,21,2,3,NA,1,NA,NA
Dimona,2107,2107,1-ha,B,3,8.9,9.7,3,3,2009,21,NA,3,NA,NA,NA,NA,NA
Dimona,2107,2107,1-ha,B,2,NA,NA,4,4,1998,15,16,2,1,0,1,NA,initial.tag.yr
Dimona,2107,2107,1-ha,B,2,NA,NA,4,4,1999,16,25,1,2,0,1,NA,NA
Dimona,2107,2107,1-ha,B,2,NA,NA,4,4,2000,25,23,2,2,0,1,NA,NA
Dimona,2107,2107,1-ha,B,2,NA,NA,4,4,2001,23,20,2,2,0,1,NA,NA
Dimona,2107,2107,1-ha,B,2,NA,NA,4,4,2002,20,22,2,2,0,1,NA,NA
Dimona,2107,2107,1-ha,B,2,NA,NA,4,4,2003,22,24,2,2,0,1,NA,NA
Dimona,2107,2107,1-ha,B,2,NA,NA,4,4,2004,24,20,2,1,0,1,NA,NA
Dimona,2107,2107,1-ha,B,2,NA,NA,4,4,2005,20,NA,1,NA,0,0,NA,NA
Dimona,2107,2107,1-ha,A,10,NA,NA,5,5,1998,19,10,1,2,0,1,NA,initial.tag.yr
Dimona,2107,2107,1-ha,A,10,NA,NA,5,5,1999,10,9,2,1,0,1,NA,NA
Dimona,2107,2107,1-ha,A,10,NA,NA,5,5,2000,9,11,1,1,0,1,NA,NA
Dimona,2107,2107,1-ha,A,10,NA,NA,5,5,2001,11,12,1,1,0,1,NA,NA
Dimona,2107,2107,1-ha,A,10,NA,NA,5,5,2002,12,9,1,1,0,1,NA,NA
Dimona,2107,2107,1-ha,A,10,NA,NA,5,5,2003,9,NA,1,NA,0,0,NA,NA
Dimona,2107,2107,1-ha,A,5,NA,NA,6,6,1998,18,19,3,1,0,1,NA,initial.tag.yr
Dimona,2107,2107,1-ha,A,5,NA,NA,6,6,1999,19,16,1,2,0,1,NA,NA
Dimona,2107,2107,1-ha,A,5,NA,NA,6,6,2000,16,17,2,2,0,1,NA,NA
Dimona,2107,2107,1-ha,A,5,NA,NA,6,6,2001,17,NA,2,NA,0,0,NA,NA
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,1998,25,17,5,4,0,1,NA,initial.tag.yr
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,1999,17,24,4,4,0,1,NA,NA
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,2000,24,23,4,4,0,1,NA,NA
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,2001,23,22,4,8,0,1,NA,NA
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,2002,22,26,8,6,0,1,NA,NA
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,2003,26,29,6,6,0,1,NA,NA
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,2004,29,26,6,6,0,1,NA,NA
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,2005,26,27,6,8,0,1,NA,NA
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,2006,27,35,8,6,NA,1,NA,NA
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,2007,35,35,6,5,NA,1,NA,NA
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,2008,35,59,5,7,NA,1,NA,NA
Dimona,2107,2107,1-ha,B,8,8.2,3.9,7,7,2009,59,NA,7,NA,NA,NA,NA,NA
Dimona,2107,2107,1-ha,B,6,7.6,6.7,8,8,1998,10,16,2,1,0,1,NA,initial.tag.yr
Dimona,2107,2107,1-ha,B,6,7.6,6.7,8,8,1999,16,20,1,1,0,1,NA,NA
Dimona,2107,2107,1-ha,B,6,7.6,6.7,8,8,2000,20,12,1,1,0,1,NA,NA
